2025-12-21 12:58:30 - root - INFO - Запуск Multi-IB Code Search...
2025-12-21 12:58:30 - app.context - INFO - Инициализация ИБ: hrm31...
2025-12-21 12:58:46 - pymorphy3.opencorpora_dict.wrapper - INFO - Loading dictionaries from C:\Users\rsyuzyov\AppData\Roaming\Python\Python312\site-packages\pymorphy3_dicts_ru\data
2025-12-21 12:58:46 - pymorphy3.opencorpora_dict.wrapper - INFO - format: 2.4, revision: 417150, updated: 2022-01-08T22:09:24.565962
2025-12-21 12:58:46 - app.context - INFO - ИБ hrm31 инициализирована
2025-12-21 12:58:46 - root - INFO - Сервер доступен на http://localhost:8000
2025-12-21 12:59:00 - ib.hrm31 - INFO - Обнаружены изменения, запуск индексации...
2025-12-21 12:59:10 - idx.code_hrm31 - INFO - [Incremental] Scanning 36505 files for changes...
2025-12-21 12:59:16 - idx.code_hrm31 - INFO - Scanned 13925/36505 files...
2025-12-21 12:59:21 - idx.code_hrm31 - INFO - Scanned 23862/36505 files...
2025-12-21 12:59:26 - idx.code_hrm31 - INFO - Scanned 31815/36505 files...
2025-12-21 12:59:28 - idx.code_hrm31 - INFO - Scanning done. Found: +36505 ~0 -0
2025-12-21 12:59:28 - idx.code_hrm31 - INFO - [Incremental] Starting indexing...
2025-12-21 13:01:49 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 2:48 | конец: ...
2025-12-21 13:01:54 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 2:53 | конец: ...
2025-12-21 13:01:59 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 2:58 | конец: ...
2025-12-21 13:02:04 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:03 | конец: ...
2025-12-21 13:02:09 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:08 | конец: ...
2025-12-21 13:02:14 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:13 | конец: ...
2025-12-21 13:02:19 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:18 | конец: ...
2025-12-21 13:02:24 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:23 | конец: ...
2025-12-21 13:02:29 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:28 | конец: ...
2025-12-21 13:02:34 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:33 | конец: ...
2025-12-21 13:02:39 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:38 | конец: ...
2025-12-21 13:02:44 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:43 | конец: ...
2025-12-21 13:02:49 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:48 | конец: ...
2025-12-21 13:02:54 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:53 | конец: ...
2025-12-21 13:02:59 - idx.code_hrm31 - INFO - [0%] 0/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 12:59:00 | прошло: 3:58 | конец: ...
