2025-12-21 13:04:51 - root - INFO - Запуск Multi-IB Code Search...
2025-12-21 13:04:51 - app.context - INFO - Инициализация ИБ: hrm31...
2025-12-21 13:05:08 - pymorphy3.opencorpora_dict.wrapper - INFO - Loading dictionaries from C:\Users\rsyuzyov\AppData\Roaming\Python\Python312\site-packages\pymorphy3_dicts_ru\data
2025-12-21 13:05:08 - pymorphy3.opencorpora_dict.wrapper - INFO - format: 2.4, revision: 417150, updated: 2022-01-08T22:09:24.565962
2025-12-21 13:05:08 - app.context - INFO - ИБ hrm31 инициализирована
2025-12-21 13:05:08 - root - INFO - Сервер доступен на http://localhost:8000
2025-12-21 13:05:26 - ib.hrm31 - INFO - Обнаружены изменения, запуск индексации...
2025-12-21 13:05:39 - idx.code_hrm31 - INFO - [Incremental] Scanning 36505 files for changes...
2025-12-21 13:05:45 - idx.code_hrm31 - INFO - Scanned 21500/36505 files...
2025-12-21 13:05:48 - idx.code_hrm31 - INFO - Scanning done. Found: +36505 ~0 -0
2025-12-21 13:05:48 - idx.code_hrm31 - INFO - [Incremental] Starting indexing...
2025-12-21 13:08:59 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:32 | конец: 21:29:36
2025-12-21 13:09:04 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:37 | конец: 21:29:36
2025-12-21 13:09:09 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:42 | конец: 21:29:36
2025-12-21 13:09:14 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:47 | конец: 21:29:36
2025-12-21 13:09:19 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:52 | конец: 21:29:36
2025-12-21 13:09:24 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 3:57 | конец: 21:29:36
2025-12-21 13:09:29 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:02 | конец: 21:29:36
2025-12-21 13:09:34 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:07 | конец: 21:29:36
2025-12-21 13:09:39 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:12 | конец: 21:29:36
2025-12-21 13:09:44 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:17 | конец: 21:29:36
2025-12-21 13:09:49 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:22 | конец: 21:29:36
2025-12-21 13:09:54 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:27 | конец: 21:29:36
2025-12-21 13:09:59 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:32 | конец: 21:29:36
2025-12-21 13:10:04 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:38 | конец: 21:29:36
2025-12-21 13:10:09 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:43 | конец: 21:29:36
2025-12-21 13:10:14 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:48 | конец: 21:29:36
2025-12-21 13:10:19 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:53 | конец: 21:29:36
2025-12-21 13:10:24 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 4:58 | конец: 21:29:36
2025-12-21 13:10:29 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 5:03 | конец: 21:29:36
2025-12-21 13:10:34 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 5:08 | конец: 21:29:36
2025-12-21 13:10:39 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 5:13 | конец: 21:29:36
2025-12-21 13:10:44 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 5:18 | конец: 21:29:36
2025-12-21 13:10:49 - idx.code_hrm31 - INFO - [0%] 4/36505 | в базе: 250406 | проиндексировано: 0 | 0.0/с | начало: 13:05:26 | прошло: 5:23 | конец: 21:29:36
